lat,lon,ele,date
0.9652087321784815,1.0447556137155298,847.5,2024-02-06 07:14:53
0.965228837060722,1.044792960551862,769.2,2024-02-06 07:18:18
0.9652516088444573,1.04482147136215,746.6,2024-02-06 07:20:35
0.9652709749532602,1.0448448999953128,743.7,2024-02-06 07:22:33
0.9652884699905651,1.0448667091776056,738.0,2024-02-06 07:24:09
0.9653058362906392,1.0448870378878508,738.0,2024-02-06 07:25:45
0.9653234717693532,1.044908699315805,738.0,2024-02-06 07:27:32
0.9653440301562013,1.044935636025858,736.0,2024-02-06 07:29:42
0.9653632602148438,1.0449596834742338,737.0,2024-02-06 07:31:35
0.9653821318579069,1.04498066610699,735.1,2024-02-06 07:33:58
0.9654001974328723,1.0450020715248134,734.6,2024-02-06 07:36:44
0.9654181898628342,1.0450247730887168,732.2,2024-02-06 07:38:31
0.9654364397655127,1.0450471542712558,731.7,2024-02-06 07:40:22
0.9654549632345889,1.0450689883244904,730.7,2024-02-06 07:42:17
0.9654751983166463,1.0450938301350408,726.9,2024-02-06 07:44:18
0.9654937949324714,1.0451174255413949,725.9,2024-02-06 07:58:30
0.9655224037587048,1.0451514266827802,718.2,2024-02-06 08:01:19
0.9655505020255175,1.0451853034781828,707.2,2024-02-06 08:03:57
0.9655812393977109,1.0452236597274334,690.8,2024-02-06 08:06:50
0.965608173182592,1.0452606305919192,672.1,2024-02-06 08:09:21
0.9656374739690419,1.045295648462643,661.5,2024-02-06 08:12:04
0.9656654625174765,1.0453280169881392,652.4,2024-02-06 08:14:40
0.9656946506586314,1.0453655978905776,645.2,2024-02-06 08:17:28
0.9657239792394496,1.0453981068557374,637.0,2024-02-06 08:19:56
0.9657471006597578,1.0454252000991349,630.8,2024-02-06 08:22:07
0.9657682369006867,1.0454500185030746,628.8,2024-02-06 08:24:24
0.9657670402331384,1.045447756832126,631.2,2024-02-06 08:30:13
0.9657843436280555,1.0454688755185333,636.0,2024-02-06 08:42:25
0.9658057431937901,1.0454976525787987,635.1,2024-02-06 08:44:28
0.9658250361575894,1.0455369699651602,653.8,2024-02-06 08:48:14
0.9658477947745605,1.0455870778356595,647.6,2024-02-06 08:51:54
0.9658904520020346,1.0455432853832083,672.6,2024-02-06 08:58:35
0.9659151826333663,1.0455195202784906,692.8,2024-02-06 09:03:32
0.9659567792451981,1.0455305360514737,709.6,2024-02-06 09:08:26
0.9659611007048606,1.045527071862633,709.6,2024-02-06 09:22:05
0.9659833633935061,1.045541344090133,716.8,2024-02-06 09:27:02
0.9660125515346607,1.0455402103294869,733.1,2024-02-06 09:30:21
0.9660439369790215,1.0455252022519756,757.7,2024-02-06 09:34:45
0.9660674563134549,1.0455121895971808,779.8,2024-02-06 09:39:05
0.9660918387690541,1.0455200118190584,797.1,2024-02-06 09:43:11
0.9661172408774182,1.0455245483277193,813.9,2024-02-06 09:47:48
0.9661347139724438,1.0454976803749123,840.8,2024-02-06 09:56:06
0.9661530735935004,1.045494074282077,860.5,2024-02-06 10:00:30
0.9661678505283322,1.045479607485272,876.9,2024-02-06 10:17:17
0.9661935510740359,1.0454646184266136,910.0,2024-02-06 10:22:22
0.9662191301971834,1.0454569966226392,942.7,2024-02-06 10:31:07
0.9662419341630444,1.0454534812310747,967.7,2024-02-06 10:35:40
0.9662590137317023,1.0454650178033251,986.9,2024-02-06 10:40:40
0.966276788187494,1.045467323362323,1006.6,2024-02-06 10:46:22
0.9662950337006693,1.0454753972065736,1023.9,2024-02-06 10:50:30
0.9663092137660583,1.0454830424171584,1043.2,2024-02-06 10:55:09
0.9663288651436913,1.0455073458739197,1061.0,2024-02-06 11:00:23
0.9663418163576604,1.0455275824203085,1073.5,2024-02-06 11:07:47
0.966348917362367,1.045554362598762,1084.0,2024-02-06 11:11:28
0.9663573262155863,1.0455767657270711,1093.2,2024-02-06 11:13:05
0.9663676851391413,1.0455967082256235,1100.8,2024-02-06 11:14:44
0.9663676939164022,1.0455985807614527,1103.7,2024-02-06 11:18:22
0.9663678372829827,1.0455990152472074,1103.2,2024-02-06 11:18:38
